	0
2022-07-19	0
2022-07-20	0
2022-07-21	1
2022-07-22	1
2022-07-23	0
2022-07-24	0
2022-07-25	0
2022-07-26	1
2022-07-27	1
2022-07-28	1
2022-07-29	1
2022-07-30	0
2022-07-31	0
2022-08-01	1
2022-08-02	1
2022-08-03	0
2022-08-04	0
2022-08-05	0
2022-08-06	0
2022-08-07	0
2022-08-08	1
2022-08-09	0
2022-08-10	0
2022-08-11	0
2022-08-12	0
2022-08-13	2
2022-08-14	1
2022-08-15	1
2022-08-16	1
2022-08-17	1
2022-08-18	0
2022-08-19	0
2022-08-20	0
2022-08-21	0
2022-08-22	1
2022-08-23	0
2022-08-24	0
2022-08-25	0
2022-08-26	0
2022-08-27	0
2022-08-28	0
2022-08-29	1
2022-08-30	0
2022-08-31	1
2022-09-01	0
2022-09-02	1
2022-09-03	1
2022-09-04	1
2022-09-05	1
2022-09-06	1
2022-09-07	0
2022-09-08	0
2022-09-09	0
2022-09-10	0
2022-09-11	0
2022-09-12	1
2022-09-13	1
2022-09-14	1
2022-09-15	1
2022-09-16	0
2022-09-17	0
2022-09-18	2
2022-09-19	0
2022-09-20	0
2022-09-21	0
2022-09-22	0
2022-09-23	0
2022-09-24	1
2022-09-25	0
2022-09-26	1
2022-09-27	0
2022-09-28	1
2022-09-29	1
2022-09-30	1
2022-10-01	2
2022-10-02	2
2022-10-03	0
2022-10-04	0
2022-10-05	0
2022-10-06	0
2022-10-07	0
2022-10-08	0
2022-10-09	0
2022-10-10	1
2022-10-11	2
2022-10-12	0
2022-10-13	0
2022-10-14	0
2022-10-15	0
2022-10-16	2
2022-10-17	2
2022-10-18	0
2022-10-19	1
2022-10-20	1
2022-10-21	1
2022-10-22	0
2022-10-23	1
2022-10-24	2
2022-10-25	0
2022-10-26	2
2022-10-27	0
2022-10-28	2
2022-10-29	2
2022-10-30	2
2022-10-31	2
